==================================1366x768==================================
Task: 1, Test Name: Search bar should be visible, DOM Id:: DIV__colxlcollg__40, Browser: Firefox, Viewport: 1366x768, Device: Laptop, Status: Pass
Task: 1, Test Name: Filter Name should be hidden, DOM Id:: SPAN____208, Browser: Chrome, Viewport: 360x640, Device: Phone, Status: Fail
Task: 1, Test Name: Grid action items should be visible, DOM Id:: .grid_item ul li, Browser: Chrome, Viewport: 360x640, Device: Phone, Status: Fail
Task: 1, Test Name: Footer Links should be hidden, DOM Id:: .dont-collapse-sm, Browser: Chrome, Viewport: 360x640, Device: Phone, Status: Fail
==================================731x411==================================
Task: 1, Test Name: Search bar should be hidden, DOM Id:: DIV__colxlcollg__40, Browser: Firefox, Viewport: 731x411, Device: Phone, Status: Fail
Task: 1, Test Name: Wish list should be hidden, DOM Id:: A__wishlist__52, Browser: Firefox, Viewport: 731x411, Device: Phone, Status: Fail
Task: 1, Test Name: Cart Count should be hidden, DOM Id:: STRONG____50, Browser: Firefox, Viewport: 731x411, Device: Phone, Status: Fail
Task: 1, Test Name: Grid View should be hidden, DOM Id:: I__tiviewgrid__202, Browser: Firefox, Viewport: 731x411, Device: Phone, Status: Fail
Task: 1, Test Name: List View should be hidden, DOM Id:: I__tiviewlist__204, Browser: Firefox, Viewport: 731x411, Device: Phone, Status: Fail
Task: 1, Test Name: Filter Icon should be visible, DOM Id:: A__openfilter__206, Browser: Firefox, Viewport: 731x411, Device: Phone, Status: Fail
Task: 1, Test Name: Filter Name should be hidden, DOM Id:: SPAN____208, Browser: Firefox, Viewport: 731x411, Device: Phone, Status: Fail
Task: 1, Test Name: Grid action items should be visible, DOM Id:: .grid_item ul li, Browser: Firefox, Viewport: 731x411, Device: Phone, Status: Fail
Task: 1, Test Name: Footer Links should be hidden, DOM Id:: .dont-collapse-sm, Browser: Firefox, Viewport: 731x411, Device: Phone, Status: Fail
==================================375x812==================================
Task: 1, Test Name: Search bar should be hidden, DOM Id:: DIV__colxlcollg__40, Browser: Chrome, Viewport: 375x812, Device: Phone, Status: Fail
Task: 1, Test Name: Wish list should be hidden, DOM Id:: A__wishlist__52, Browser: Chrome, Viewport: 375x812, Device: Phone, Status: Fail
Task: 1, Test Name: Cart Count should be hidden, DOM Id:: STRONG____50, Browser: Chrome, Viewport: 375x812, Device: Phone, Status: Fail
Task: 1, Test Name: Grid View should be hidden, DOM Id:: I__tiviewgrid__202, Browser: Chrome, Viewport: 375x812, Device: Phone, Status: Fail
Task: 1, Test Name: List View should be hidden, DOM Id:: I__tiviewlist__204, Browser: Chrome, Viewport: 375x812, Device: Phone, Status: Fail
Task: 1, Test Name: Filter Icon should be visible, DOM Id:: A__openfilter__206, Browser: Chrome, Viewport: 375x812, Device: Phone, Status: Fail
Task: 1, Test Name: Filter Name should be hidden, DOM Id:: SPAN____208, Browser: Chrome, Viewport: 375x812, Device: Phone, Status: Fail
Task: 1, Test Name: Grid action items should be visible, DOM Id:: .grid_item ul li, Browser: Chrome, Viewport: 375x812, Device: Phone, Status: Fail
Task: 1, Test Name: Footer Links should be hidden, DOM Id:: .dont-collapse-sm, Browser: Chrome, Viewport: 375x812, Device: Phone, Status: Fail
